date	time	outcome	ecolor	method	orating	erating
20-Sep	10:45	1	0	2	1710	1680
20-Sep	10:08	1	1	0	1665	1674
20-Sep	10:01	1	0	0	1687	1668
19-Sep	12:18	1	1	0	1649	1662
19-Sep	12:08	0	1	0	1631	1668
18-Sep	17:47	0	0	0	1649	1675
18-Sep	17:46	0	0	0	1634	1681
18-Sep	9:00	0	1	0	1739	1686
17-Sep	15:45	0	1	0	1684	1686
17-Sep	15:45	0	0	0	1672	1692
17-Sep	15:38	0	1	0	1698	1697
17-Sep	15:27	1	1	2	1776	1690
17-Sep	10:06	0	1	0	1716	1696
17-Sep	9:28	1	0	2	1672	1690
17-Sep	9:15	0	1	0	1697	1695
17-Sep	9:06	1	1	3	1692	1689
16-Sep	9:55	1	0	2	1671	1684
16-Sep	9:54	1	1	0	1675	1678
16-Sep	8:40	0	0	0	1687	1683
16-Sep	8:33	0	0	0	1692	1689
15-Sep	13:22	0	1	0	1640	1696
15-Sep	13:13	0	1	0	1715	1701
15-Sep	13:05	0	0	0	1697	1707
15-Sep	12:52	1	1	0	1715	1701
15-Sep	12:43	0	0	0	1722	1706
15-Sep	12:39	1	0	0	1742	1700
15-Sep	11:55	0	1	1	1500	1704
15-Sep	11:47	1	1	1	1666	1698
15-Sep	11:36	1	0	1	1671	1693
15-Sep	10:32	1	1	0	1561	1689
15-Sep	10:27	0	0	0	1668	1695
15-Sep	10:16	1	1	1	1688	1689
15-Sep	10:09	2	0	4	1666	1690
15-Sep	9:03	0	1	0	1672	1696
15-Sep	8:58	0	0	0	1683	1702
14-Sep	14:53	2	1	4	1651	1703
14-Sep	14:45	0	1	0	1755	1708
14-Sep	13:52	1	0	0	1700	1702
14-Sep	13:47	0	0	0	1711	1708
14-Sep	9:23	2	0	4	1727	1707
14-Sep	9:15	1	1	1	1702	1675
14-Sep	8:59	1	0	2	1679	1696
						
